"","camera","imgtype","zoom","timestamp","gain","frame","lifter","exposure","genotype","plantbarcode","trial","cartag","measurementlabel","other","image","treatment","trait","value","label"
"66","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9,"0.43"
"67","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",13,"0.44"
"68","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",17,"0.45"
"69","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",20,"0.46"
"70","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",20,"0.47"
"71","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",16,"0.48"
"72","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",26,"0.49"
"73","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",20,"0.5"
"74","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",23,"0.51"
"75","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",28,"0.52"
"76","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",34,"0.53"
"77","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",30,"0.54"
"78","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",27,"0.55"
"79","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",40,"0.56"
"80","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",44,"0.57"
"81","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",48,"0.58"
"82","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",51,"0.59"
"83","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",66,"0.6"
"84","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",69,"0.61"
"85","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",82,"0.62"
"86","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",71,"0.63"
"87","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",108,"0.64"
"88","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",122,"0.65"
"89","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",121,"0.66"
"90","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",140,"0.67"
"91","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",205,"0.68"
"92","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",258,"0.69"
"93","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",352,"0.7"
"94","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",494,"0.71"
"95","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",712,"0.72"
"96","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",1075,"0.73"
"97","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",1798,"0.74"
"98","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2768,"0.75"
"99","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",4260,"0.76"
"100","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",6259,"0.77"
"101","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",8111,"0.78"
"102","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9578,"0.79"
"103","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",10521,"0.8"
"104","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9947,"0.81"
"105","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",8374,"0.82"
"106","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",6081,"0.83"
"107","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3995,"0.84"
"108","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2319,"0.85"
"109","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",1135,"0.86"
"110","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",569,"0.87"
"111","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",266,"0.88"
"112","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",111,"0.89"
