"","X","meta","color_chip_size","median_color_chip_height","median_color_chip_width","num_mask_shapes","horizontal_reference_position","height_above_reference","height_below_reference","area_above_reference","percent_area_above_reference","area_below_reference","percent_area_below_reference","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","hue_circular_mean","hue_circular_std","hue_median"
"7317",7317,"/file/path/snapshot10819/VIS_SV_0_z1_h1_g0_e65_v500_new_29441_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7318",7318,"/file/path/snapshot10819/VIS_SV_90_z1_h1_g0_e65_v500_new_29442_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7319",7319,"/file/path/snapshot10820/VIS_SV_0_z1_h1_g0_e65_v500_new_29450_0.png",1296.5,37,37,5,1365,538,0,35999,100,0,0,TRUE,35999,149048.5,0.241525409514353,2744.92003917694,509,538,3277,17,TRUE,457.268035888672,395.937591552734,178.657684326172,0.500258028177469,87.8873125847521,29.523160032291,88
"7320",7320,"/file/path/snapshot10820/VIS_SV_90_z1_h1_g0_e65_v500_new_29451_0.png",1296.5,37,37,7,1365,542,0,39419,100,0,0,TRUE,39419,187867,0.209823971213678,5113.61552727222,702,542,4930,16,TRUE,890.492370605469,341.154846191406,62.4358253479004,0.923703512243446,86.6200831207123,30.771411601874,84
"7321",7321,"/file/path/snapshot10821/VIS_SV_0_z1_h1_g0_e65_v500_new_29456_0.png",1296.5,37,37,3,1365,400,0,17408,100,0,0,TRUE,17408,48487,0.359024068306969,1448.89861834049,221,400,2666,17,TRUE,1702.27514648438,337.909759521484,24.1951007843018,0.980099918835672,86.5684053088437,28.874775149159,88
"7322",7322,"/file/path/snapshot10821/VIS_SV_90_z1_h1_g0_e65_v500_new_29457_0.png",1296.5,37,37,6,1365,422,0,17301,100,0,0,TRUE,17301,62190.5,0.278193614780393,2356.52952563763,305,422,2903,17,TRUE,14779.033203125,1832.08288574219,0,0.99228659075521,85.7085039674475,33.2604796445288,84
"7323",7323,"/file/path/snapshot10822/VIS_SV_0_z1_h1_g0_e65_v500_new_29462_0.png",1296.5,37,37,2,1365,573,0,31818,100,0,0,TRUE,31818,109663,0.290143439446304,2179.9494767189,348,573,3053,18,TRUE,669.325744628906,304.615020751953,166.800048828125,0.890436612795367,85.9405321801019,27.803136953048,84
"7324",7324,"/file/path/snapshot10822/VIS_SV_90_z1_h1_g0_e65_v500_new_29463_0.png",1296.5,37,37,2,1365,582,0,40548,100,0,0,TRUE,40548,231385,0.175240400198803,3404.06129813194,743,582,5021,16,TRUE,631.787658691406,486.863006591797,92.062126159668,0.637304870779275,85.7163516136308,28.0955111906459,84
"7325",7325,"/file/path/snapshot10823/VIS_SV_0_z1_h1_g0_e65_v500_new_29468_0.png",1296.5,37,37,1,1365,223,0,4074,100,0,0,TRUE,4074,6520,0.624846625766871,506.977702736855,64,223,1171,17,TRUE,194.580932617188,51.4495429992676,12.6905031204224,0.964409803241981,84.8633904037555,31.8954842556307,82
"7326",7326,"/file/path/snapshot10823/VIS_SV_90_z1_h1_g0_e65_v500_new_29469_0.png",1296.5,37,37,1,1365,215,0,4983,100,0,0,TRUE,4983,10296.5,0.48395085708736,662.683327317238,134,215,1402,15,TRUE,291.581756591797,188.7119140625,49.6642837524414,0.762319661849197,82.9970189759999,32.2738308172758,78
"7327",7327,"/file/path/snapshot10824/VIS_SV_0_z1_h1_g0_e65_v500_new_29474_0.png",1296.5,37,37,3,1365,516,0,20146,100,0,0,TRUE,20146,51120.5,0.394088477225379,1586.17069649696,179,516,2449,21,TRUE,515.661315917969,309.129211425781,179.03303527832,0.800388914313802,84.7903406909912,26.0630928161381,84
"7328",7328,"/file/path/snapshot10824/VIS_SV_90_z1_h1_g0_e65_v500_new_29475_0.png",1296.5,37,37,4,1365,523,0,32989,100,0,0,TRUE,32989,169200,0.194970449172577,4756.75448143482,579,523,4167,12,TRUE,34810.43359375,3246.57397460938,103.394165039062,0.995641377663517,84.0522249749888,31.0786338679453,84
